Feature ID	RPKM1	RPKM2	COG Category
DDX3Y	0.032680412	0.043712197	NT
CASKP1	0	0	GO
SFPQP1	0	0	UI
TAB3P1	0	0	K
DPPA2P1	0	0	U
UTY	0.003701927	0.007427356	RTKL
PSMA6P1	0	0	L
TMSB4Y	0.023472525	0.007849011	E
PSIP1P2	0	0	DT
KALP	0	0	GR
VCY	0.071358186	0	LDA
VCY1B	0.023960639	0.024036695	TD
LOC100462832	0	0	HR
PNPLA4P1	0	0	QK
NLGN4Y	0	0	TA
AGKP1	0	0	DO
MED13P1	0	0	N
CYCSP46	0	0	GC
HDHD1P1	0	0	G
STSP1	0	0	RTKL
SURF6P1	0	0	J
FAM41AY1	0	0	GOU
TUBB1P2	0	0	N
NCRNA00230B	0	0	CI
KIAA0664P1	0	0	J
TAF9P1	0	0	F
TCEB1P14	0	0	CR
CDY5P	0	0	U
PRYP1	0	0	DO
ACTG1P2	0	0	GT
XKRY	0	0	EP
USP9YP23	0	0	T
TRAPPC2P3	0	0	DK
OFD1P1Y	0	0	ET
TCEB1P6	0	0	TK
CDY2B	0	0	Q
CDY6P	0	0	FR
USP9YP7	0	0	MJ
CDY24P	0	0	KAD
USP9YP6	0	0	DR
CDY7P	0	0	IQ
USP9YP34	0	0	A
CDY8P	0	0	FJ
CDY2A	0	0	HQ
TCEB1P12	0	0	N
OFD1P2Y	0	0	FGR
TRAPPC2P8	0	0	MR
XKRY2	0	0	KG
ACTG1P11	0	0	GE
PRYP2	0	0	QK
CDY9P	0	0	M
TAF9P2	0	0	V
KIAA0664P2	0	0	DO
NCRNA00230A	0	0	KB
TUBB1P1	0	0	KAD
FAM41AY2	0	0	OJ
TCEB1P13	0	0	OK
OFD1P4Y	0	0	IQ
USP9YP5	0	0	MI
XKRYP1	0	0	MG
TCEB1P7	0	0	NT
USP9YP1	0	0	C
HSFY1	0	0	N
TTTY9B	0	0	NU
OFD1P5Y	0	0	B
RAB9AP4	0	0	EG
TRAPPC2P7	0	0	KE
OFD1P6Y	0	0	TDK
TTTY9A	0	0	EM
HSFY2	0	0	JA
USP9YP2	0	0	K
XKRYP2	0	0	EJ
USP9YP10	0	0	PR
OFD1P7Y	0	0	FP
NCRNA00185	0	0	Z
ZNF839P1	0	0	HR
CD24P4	0	0	FGR
TTTY14	0	0	CHR
GAPDHP19	0	0	KR
BCORP1	0	0	DZ
CYorf15A	0	0	GT
CYorf15B	0	0	FJ
KDM5D	0.002339822	0.004694499	S
RCC2P2	0	0	FE
ZNF886P	0	0	MR
ZNF884P	0	0	LU
ZNF885P	0	0	MG
TTTY10	0	0	B
KDM5DP1	0	0	NU
EIF1AY	0.009394639	0.037697839	O
FAM8A9P	0	0	CHR
TBL1YP1	0	0	JO
RPS4Y2	0	0	OK
HSFY4P	0	0	CO
GAPDHP17	0	0	EH
TMEM167AP1	0	0	OTK
TOMM22P1	0	0	OC
NEFLP1	0	0	N
RBMY2SP	0	0	MU
RBMY2EP	0	0	JO
RBMY2TP	0	0	N
TSPY14P	0	0	FJ
RBMY1H	0	0	O
RBMY1B	0	0	Q
RBMY1A1	0	0	DKT
TTTY13	0	0	GHR
TCEB1P5	0	0	NUO
CDY10P	0	0	HR
USP9YP3	0	0	UD
USP9YP8	0	0	JO
CDY11P	0	0	MU
OFD1P16Y	0	0	EM
RBMY1D	0	0	LU
RBMY1E	0	0	NT
RBMY2AP	0	0	UR
OFD1P8Y	0	0	HQ
CDY12P	0	0	C
TCEB1P15	0	0	Y
PRY2	0	0	QR
TTTY6B	0	0	J
RBMY1F	0	0	FP
TSPY23P	0	0	OTN
RBMY2UP	0	0	LR
TTTY5	0	0	LKJ
TSPY22P	0	0	KG
RBMY2FP	0	0	QC
LOC100652931	0	0	GOU
RBMY2VP	0	0	GE
TSPY21P	0	0	GE
RBMY1J	0	0	EM
TTTY6	0	0	GER
PRY	0	0	JA
TCEB1P8	0	0	OJ
CDY13P	0	0	GO
OFD1P9Y	0	0	TD
RBMY2BP	0	0	C
FAM8A10P	0	0	FE
RBMY2WP	0	0	GT
TTTY17A	0	0	EG
TRIM60P4Y	0	0	IQR
ZNF736P11Y	0	0	GO
TTTY4	0	0	LDA
BPY2	0	0	RTKL
TRIM60P8Y	0	0	RTKL
ZNF736P3Y	0	0	QR
TRIM60P9Y	0	0	EP
DAZ1	0	0	CI
DAZ2	0	0	CHR
PPP1R12BP2	0	0	A
RBMY2CP	0	0	K
OFD1P10Y	0	0	TQ
CDY14P	0	0	LK
TCEB1P16	0	0	ET
PRYP3	0	0	MI
XKRYP3	0	0	HC
RAB9AP1	0	0	DKT
TRAPPC2P9	0	0	KD
OFD1P11Y	0	0	OTN
TCEB1P9	0	0	CO
CDY15P	0	0	G
CDY16P	0	0	JD
XKRYP4	0	0	DT
USP9YP11	0	0	OK
TTTY3B	0	0	DKL
RAB9AP5	0	0	OZ
TRAPPC2P10	0	0	PH
OFD1P12Y	0	0	HE
TCEB1P10	0	0	OJ
CDY1B	0	0	GE
CDY17P	0	0	L
CDY18P	0	0	Z
GOLGA6L11P	0	0	OC
DNM1P24	0	0	PE
LOC100418738	0	0	JO
CSPG4P2Y	0	0	JD
CSPG4P3Y	0	0	UD
CHRFAM7AP2	0	0	KD
GOLGA2P2Y	0	0	MNO
UBE2Q2P4Y	0	0	HE
DNM1P25	0	0	CO
GOLGA6L12P	0	0	HQ
NCRNA00265-2P	0	0	R
CICP2	0	0	KD
RPL41P7	0	0	Y
RBMY2XP	0	0	DZ
TTTY17B	0	0	KE
TRIM60P5Y	0	0	F
ZNF736P12Y	0	0	Y
TTTY4B	0	0	OC
BPY2B	0	0	QP
TRIM60P10Y	0	0	IQR
ZNF736P2Y	0	0	CR
TRIM60P11Y	0	0	QK
DAZ3	0	0	PT
DAZ4	0	0	LKJ
TRIM60P6Y	0	0	KB
ZNF736P1Y	0	0	DR
TRIM60P7Y	0	0	H
BPY2C	0	0	JU
TTTY4C	0	0	BD
ZNF736P4Y	0	0	BD
TRIM60P12Y	0	0	IR
TTTY17C	0	0	FGR
RBMY2YP	0	0	KNU
RPL41P6	0	0	OT
CICP1	0	0	GO
NCRNA00265-3P	0	0	TG
GOLGA6L13P	0	0	GO
DNM1P27	0	0	KL
UBE2Q2P5Y	0	0	EH
GOLGA2P3Y	0	0	PE
CHRFAM7AP1	0	0	S
CSPG4P4Y	0	0	QR
CSPG4P1Y	0	0	BD
DNM1P48	0	0	KL
DNM1P26	0	0	UNTP
GOLGA6L14P	0	0	TD
GOLGA6L16P	0	0	EF
CDY19P	0	0	IQR
CDY20P	0	0	KB
CDY1	0	0	B
OFD1P13Y	0	0	HJ
TRAPPC2P5	0	0	OK
RAB9AP2	0	0	FH
TTTY3	0	0	NUO
USP9YP9	0	0	JA
USP9YP19	0	0	HR
XKRYP5	0	0	KE
CDY21P	0	0	NO
CDY22P	0	0	KLB
TCEB1P17	0	0	P
OFD1P14Y	0	0	GC
OFD1P18Y	0	0	FR
TRAPPC2P4	0	0	KD
RAB9AP3	0	0	FP
XKRYP6	0	0	JO
PRYP4	0	0	TD
TCEB1P11	0	0	DKL
CDY23P	0	0	OTK
OFD1P15Y	0	0	U
RBMY2DP	0	0	GER
PPP1R12BP1	0	0	LDA
CYCSP48	0	0	MNO
ANKRD36P1	0	0	LDA
TPTE2P4	0	0	EJ
CYCSP49	0	0	KT
SLC25A15P1	0	0	B
LOC100422624	0	0	NO
PARP4P1	0	0	GM
FAM58CP	0	0	FP
CTBP2P1	0	0	TDK
SPRY3 (NC_000024 59100456..59115123)	0.04190063	0.068123473	EH
AMDP1 (NC_000024 59160761..59162330)	0	0	UD
VAMP7 (NC_000024 59213948..59276439)	9.964570891	11.79443305	TDBLU
TCEB1P24 (NC_000024 59311662..59311996)	0	0	N
TRPC6P (NC_000024 59318016..59318918)	0	0	IQ
IL9R (NC_000024 59330251..59343488)	0.054587521	0.006084533	GER
WASH6P (NC_000024 59354328..59358343)	0	0	TA
DDX11L16 (NC_000024 59358331..59360854)	0	0	MP
LOC100507426 (NC_000024 59361221..59361778)	0	0	GO
LOC100421685	0	0	HI
LOC644525	0	0	JD
NBEAP3	0	0	IQR
LOC729057	0	0	TG
DUXAP8	0	0	KL
LOC400879	0	0	OC
POTEH	0	0	JU
NF1P6	0	0	HC
NEK2P2	0	0	Y
LOC100420175	0	0	TG
LOC100422530	0	0	Z
LOC100132723	0	0	UI
LOC780780	0	0	F
OPHN1P1	0	0	KD
OR11H1	0.013311466	0.01335372	TG
YME1L1P1	0	0	GER
BNIP3P2	0	0	PE
LOC100533637	0	0	GOU
ABCD1P4	0	0	Z
PABPC1P9	0	0	GC
LOC644768	0	0	UI
ACTR3BP6	0	0	OTK
LOC100422375	0	0	GT
KCNMB3P1	0	0	KG
CCT8L2	0	0	Y
FABP5P11	0	0	FP
psiTPTE22	0	0	L
SLC25A15P5	0	0	QK
ANKRD62P1-PARP4P3	0	0	L
VWFP1	0	0	EJ
XKR3	0	0	YU
HSFY1P1	0	0	MNO
ZNF402P	0	0	A
IGKV2OR22-4	0	0	DZ
IGKV2OR22-3	0	0	V
IGKV3OR22-2	0	0	MU
IGKV1OR22-1	0	0	BQ
GAB4	0	0	TD
LOC100419811	0	0	HQ
VN1R9P	0	0	U
CECR7	0	0	I
IL17RA	4.491436467	4.750766525	JD
RPL31P62	0	0	KE
CECR6	0.479165504	0.328210666	ET
CECR5	30.18747332	23.75420022	NOU
CECR5-AS1	0	0	H
CECR1	2.14191249	2.606367481	IM
RPL32P5	0	0	CP
FAM32B	0	0	KR
CECR3	0	0	NU
TERF2IPP1	0	0	CP
CLCP1	0	0	KNU
CECR2	3.038650425	2.560010444	KT
DNAJA1P6	0	0	IM
SLC25A18	4.223536145	6.898370313	EG
ATP6V1E1	152.0122731	177.9866855	GC
BCL2L13	26.34592127	31.69367135	BK
BID	20.16496775	16.87594023	EF
MIR3198-1	0	0	DZ
C22orf37	0	0	KAD
MICAL3	5.181528643	5.390362317	C
LOC100506240	0	0	TDK
MIR648	0	0	OZ
LOC692231	0	0	GO
FLJ41941	0	0	J
PEX26	10.89971166	13.31777773	N
TUBA8	1.537023076	1.467890654	GOU
LOC100506285	0	0	IQR
USP18	12.55210461	17.43451013	GHR
LOC100652750	0	0	MNO
KIAA0649P4	0	0	E
LOC642643	0.009759752	0	EP
GGT3P	0	0	LU
LOC100132900	0	0.027991451	IM
LOC386610	0	0	MP
LOC727983	0	0	KT
LOC100287541	0.076321146	0.025521136	KE
BCRP7	0	0	HE
DGCR6	9.680966431	12.18278321	LD
PRODH	1.404553134	1.392690918	EP
DGCR5	0	0	GO
LOC100287576	0	0	EP
LOC100506454	0	0	HE
DGCR9	0	0	IQ
DGCR10	0	0	TA
DGCR2	49.98593193	51.67838568	KR
DGCR11	0	0	Y
LOC100129262	0	0	ER
TSSK1A	0	0	GHR
DGCR14	8.977297101	8.577640907	EP
TSSK2	0.00719083	0	ER
GSC2	0	0	EF
LOC100652736	1.647106061	0.739442449	EJ
SLC25A1	142.2892042	158.9029872	BD
CLTCL1	5.865099461	5.615303266	TK
RPL34P35	0	0	KG
DVL1L1	0	0	P
LOC100287635	0	0	YU
HIRA	38.99341672	37.75920454	DO
MRPL40	88.41444777	94.89058515	PH
C22orf39	5.741823892	5.966941372	HQ
LOC100506503	0	0	NU
UFD1L	107.4565435	109.0980843	F
CDC45	30.4677777	28.0788822	IM
CLDN5	0.084649188	0.045289538	LKJ
LOC150185	0	0	OTK
LOC100129254	0	0	TQ
LOC100420103	0	0	D
SEPT5	2.349156793	2.644525632	CE
SEPT5-GP1BB	0	0	RTKL
GP1BB	1.158639441	1.148642914	GT
TBX1	0.873979008	0.606265526	S
GNB1L	7.06657439	6.416326015	Z
RPL7AP70	0	0	KL
C22orf29	0.04723514	0.045410697	JD
TXNRD2	20.02000417	17.72235092	OTK
RPL8P5	0	0	PH
COMT	18.93566192	17.89768755	Z
MIR4761	0	0	OC
ARVCF	2.355456636	1.992913616	LD
C22orf25	10.01097849	13.75182628	KE
MIR185	0	0	KR
DGCR8	18.86555725	10.51477792	OD
MIR3618	0	0	UD
MIR1306	0	0	EP
TRMT2A	26.33736077	21.22154735	OC
RANBP1	408.1830314	402.7212346	FJ
ZDHHC8	3.801361055	2.663387655	NU
LOC388849	0.041654061	0.02089314	LU
LOC284865	0	0	UI
LOC150197	0	0	N
RTN4R	1.238486579	2.662323913	KR
LOC100652746	0	0	H
MIR1286	0	0	HC
LOC440792	0	0	GOU
DGCR6L	16.80335764	23.37978448	KB
LOC729444	0	0	ET
GGTLC3	0	0	FP
TMEM191B	0.234936397	0.608845528	MP
PI4KAP1	0	0	EH
LOC100506613	0	0	OC
RIMBP3	0.252339093	0.334506529	UI
SUSD2P2	0	0	Q
LOC440795	0	0	KG
KIAA0649P2	0	0	HI
GGTLC5P	0	0	EH
LOC729461	0	0	DT
KIAA0649P3	0	0	R
LOC653203	0	0	F
USP41	0.314934837	0.473901771	JD
ZNF74	4.729841215	5.384953031	OTK
SCARF2	1.551842274	1.217041794	V
KLHL22	11.75069653	9.489487005	NO
LOC100420177	0	0	TG
KRT18P5	0	0	BK
MED15	31.5301061	25.88171644	CO
SMPD4P1	0	0	FP
IGLL4P	0	0	J
LOC100421121	0	0	BQ
SLC9A3P2	0	0	HC
FAM108A5P	0	0	PH
POM121L4P	0	0	HC
BCRP5	0	0	EF
TMEM191A	0	0	BK
PI4KA	48.7556059	41.39454026	LU
SERPIND1	50.21161655	59.06501101	JO
SNAP29	35.04237777	51.98197611	OTN
CRKL	70.95757519	80.57544892	EQ
AIFM3	0.537218749	0.212460426	MJ
LZTR1	20.75749272	13.1941125	M
THAP7	26.93719816	27.76102836	GM
FLJ39582	0	0	R
MGC16703	0	0	GER
P2RX6	0.318849388	0.267346917	QK
SLC7A4	0.254057355	0.322827471	NOU
MIR649	0	0	LK
P2RX6P	0	0	IM
LOC400891	0	0	GC
LOC645348	0	0	UD
BCRP2	0	0	EP
POM121L7	0	0	TQ
LOC376818	0	0	KH
LOC284861	0	0	E
GGT2	0.185385407	0.119023273	OTK
LOC100132705	0.066625245	0.155952368	TG
LOC100420178	0	0	CP
POM121L8P	0	0	PR
BCRP6	0	0	DKT
KIAA0649P5	0	0	KNU
SUSD2P1	0	0	HE
RIMBP3B	0.036146562	0.13779294	A
HIC2	17.30766666	21.58667082	YU
TMEM191C	0.489570661	0.420964006	TD
PI4KAP2	0	0	QR
RIMBP3C	0.076602939	0.149171831	BD
UBE2L3	129.1974202	137.836143	EM
YDJC	24.09682746	16.73236039	MI
CCDC116	0.285953607	0.44224449	CI
SDF2L1	67.92237923	53.28432066	EH
MIR301B	0	0	FR
MIR130B	0	0	O
PPIL2	42.89074059	36.11920724	JU
YPEL1	0.505885409	0.473862272	GEPR
MAPK1	101.8291876	121.9176682	CR
PPM1F	21.02212162	23.91349856	EG
LOC100286925	0	0	UR
TOP3B	18.91324951	13.12951295	PE
PRAMEL	0	0	OJ
IGL@	0	0	DZ
IGLVI-70	0	0	KR
IGLV4-69	0	0	DKT
IGLVI-68	0	0	GT
IGLV10-67	0	0	LK
IGLVIV-66-1	0	0	I
IGLVV-66	0	0	DZ
IGLVIV-65	0	0	IQ
IGLVIV-64	0	0	OJ
IGLVI-63	0	0	JO
IGLV1-62	0	0	BK
IGLV8-61	0	0	JU
FAM108A6P	0	0	C
IGLV4-60	0	0	IQ
SOCS2P2	0	0	NOU
IGLVIV-59	0	0	U
IGLVV-58	0	0	EF
BMP6P1	0	0	EP
IGLV6-57	0	0	DKL
IGLVI-56	0	0	HE
IGLV11-55	0	0	OK
LOC100419915	0	0	OZ
IGLV10-54	0	0	O
IGLVIV-53	0	0	KD
TOP3B2	0	0	UI
LOC100533679	0	0	GOU
VPREB1	0	0	JA
LOC96610	0	0	J
IGLV5-52	0	0	HE
IGLV1-51	0	0	UT
IGLV1-50	0	0	A
IGLV9-49	0	0	MR
IGLV5-48	0	0	DT
IGLV1-47	0	0	HJ
IGLV7-46	0	0	TQ
IGLV5-45	0	0	IQR
IGLV1-44	0	0	S
IGLV7-43	0	0	R
IGLVI-42	0	0	JO
IGLVVII-41-1	0	0	LDA
IGLV1-41	0	0	A
IGLV1-40	0	0	EJ
ASH2LP1	0	0	UI
IGLVI-38	0	0	NOU
IGLV5-37	0	0	TA
IGLV1-36	0	0	PH
IGLV7-35	0	0	FP
ZNF280B	2.384842109	5.44519405	GM
ZNF280A	0.16414376	0.152467399	K
PRAME	1.006559297	0.705934459	EG
LOC648691	0	0	C
IGLV2-34	0	0	KAD
IGLV2-33	0	0	TQ
IGLV3-32	0	0	KB
IGLV3-31	0	0	UNTP
IGLV3-30	0	0	NOU
BCRP4	0	0	MP
POM121L1P	0	0	LKJ
GGTLC2	0.046197694	0.015448112	TQ
LOC129026	0	0	JA
IGLV3-29	0	0	P
IGLV2-28	0	0	TZDR
IGLV3-27	0	0	UNTP
IGLV3-26	0	0	UI
IGLVVI-25-1	0	0	JD
IGLV3-25	0	0	OK
IGLV3-24	0	0	EG
IGLV2-23	0	0	PR
IGLVVI-22-1	0	0	RTKL
IGLV3-22	0	0	LK
IGLV3-21	0	0	V
IGLVI-20	0	0	BD
IGLV3-19	0	0	OTN
IGLV2-18	0	0	IM
IGLV3-17	0	0	UR
IGLV3-16	0	0	EP
IGLV3-15	0	0	BQ
IGLV2-14	0	0	DO
IGLV3-13	0	0	EQ
IGLV3-12	0	0	B
LOC100420967	0	0	DR
IGLV2-11	0	0	TA
IGLV3-10	0	0	Z
IGLV3-9	0	0	DZ
IGLV2-8	0	0	ER
IGLV3-7	0	0	FP
IGLV3-6	0	0	UNTP
IGLV2-5	0	0	CE
IGLV3-4	0	0	UW
IGLV4-3	0	0	OJ
IGLV3-2	0	0	N
IGLV3-1	0	0	YU
IGLL5	0	0	TZDR
IGLJ1	0	0	DZ
IGLC1	0	0	IR
IGLJ2	0	0	OK
IGLC2	0	0	JA
IGLJ3	0	0	NUO
IGLC3	0	0	GC
IGLJ4	0	0	NUO
IGLC4	0	0	F
IGLJ5	0	0	EJ
IGLC5	0	0	FP
IGLJ6	0	0	CO
IGLC6	0	0	UI
IGLJ7	0	0	O
IGLC7	0	0	BD
LOC100287966	0	0	FH
RTDR1	0.135591953	0.230191675	JA
GNAZ	0.659440394	0.902462521	J
RAB36	0.013666717	0.034275246	GER
LOC100420267	0	0	CP
BCR	13.28476803	15.70411307	OC
FBXW4P1	0	0	IM
POM121L11P	0	0	CR
RPS10P30	0	0	CP
CES5AP1	0	0	CO
ZDHHC8P1	0	0	GM
LOC388882	0	0	KG
IGLL1	0.318854669	0.261709191	DT
C22orf43	0.261170961	0.151153834	KD
GUSBP11	0	0	UNTP
ASLP1	0	0	OU
RGL4	0.058842678	0.081733096	F
ZNF70	1.518133418	2.005601034	OTK
VPREB3	0.200900739	0.134358964	TK
C22orf15	0.136026542	0	OC
CHCHD10	32.30171637	26.0079158	LD
MMP11	3.367153257	4.142635669	HI
SMARCB1	102.7124199	120.0538365	KE
DERL3	0.591715459	0.36843747	LKJ
SLC2A11	3.311473605	4.25153126	JD
LOC284889	0	0	GR
MIF	108.6815702	91.67664147	KAD
LOC100129358	0	0	EQ
LOC100652871	0	0	HR
GSTT2B	0.51327017	0.419104171	TQ
DDTL	5.095629148	2.80428112	EP
DDT	52.99278006	56.34992631	TDBLU
GSTT2	0.991936179	0.866309135	KB
GSTTP1	0	0	R
LOC768328	0	0	GT
LOC100420769	0	0	MG
LOC391322	0.162362054	0.395559471	A
GSTT1	0	0	BD
GSTTP2	0	0	B
CABIN1	9.765058555	9.987863595	H
LOC100652894	0	0	EH
SUSD2	1.390778445	2.374709203	EG
GGT5	0.005229695	0.005246295	OK
GGTLC4P	0	0	UNTP
POM121L9P	0	0	OD
BCRP1	0	0	H
RPS10P29	0	0	J
SPECC1L	24.39278207	30.78828315	D
ADORA2A	1.129773058	0.735151928	OU
C22orf45	0	0	HE
UPB1	1.648902294	2.528737097	GE
C22orf13	37.68044584	54.23406828	O
SNRPD3	136.1483277	137.9992669	EQ
GGT1	18.57405317	16.25668586	FR
C22orf36	0.242215004	0.327499974	NUO
BCRP3	0	0	GR
POM121L10P	0	0	MP
LOC641379	0	0	QK
LOC100421614	0	0	KLB
LOC641457	0	0	JU
PIWIL3	0.026087282	0.014954337	QR
TOP1P2	0	0	HR
SGSM1	0.048631251	0.099692349	FE
TMEM211	0	0	CO
KIAA1671	3.952158244	4.792347623	JD
LOC100128531	0	0	MI
CRYBB3	0.015308966	0.030715121	GE
CRYBB2	0.90708132	0.789777132	FE
IGLL3P	0	0	DZ
LOC100652901	0.044751707	0.008978752	JA
LOC100419673	0	0	KE
LRP5L	0.960283424	0.507878899	NOU
CRYBB2P1	0	0	KG
LOC100507580	0	0	UNTP
ADRBK2	2.621515057	2.590779385	PE
YESP	0	0	EG
MYO18B	4.929163556	4.250425811	BD
SEZ6L	0	0	UNTP
LOC646216	0	0	JD
ASPHD2	0.141897896	0.067220037	MNO
HPS4	5.08760375	6.460725	MP
SRRD	12.06880504	17.76047808	UD
TFIP11	11.04199058	14.30840336	LR
LOC100507599	0	0	B
TPST2	1.56073249	1.666698661	T
MIR548J	0	0	JU
HMGB1P10	0	0	EM
CRYBB1	0	0	K
CRYBA4	0	0	UI
ISCA2P1	0	0	NUO
MIAT	0	0	OT
RPL15P22	0	0	K
LOC100507657	0	0	DKT
MN1	0.050118832	0.131762827	ER
LOC100507669	0	0	TA
PITPNB	32.84503864	29.46939934	NU
TTC28-AS1	0	0	IQR
MIR3199-1	0	0	QK
MIR3199-2	0	0	Q
TTC28	1.950755546	2.141313944	H
CHEK2	11.82958555	13.1065918	ER
HSCB	8.56592831	7.114861813	MU
CCDC117	12.70791703	13.43859365	KLB
XBP1	183.5802255	203.2155331	OTN
LOC646408	0	0	TQ
ZNRF3	3.111290696	2.747710267	TK
C22orf31	0	0	TDK
